design,kind,factor,delta,seed,traj,flip_rate,region_cycles,act_shift,d_burned_ha,d_j_total,d_j_phys,d_j_burn,d_j_asset,d_j_pop,burned_ha,j_total,seconds,shift_fire_threat_level,shift_asset_exposure_risk,shift_suppression_feasibility,shift_intervention_urgency,shift_evacuation_pressure
oat,mf,resource_accessibility,+0.200,201,,0.0,52,0.00538,-16.47,-0.021218,-0.024204,-0.013121,-0.059491,-1e-06,289.08,0.347017,8.9,0.00086,0.0006,0.0193,0.00056,0.00028
oat,mf,resource_accessibility,-0.200,201,,0.0,52,0.00761,-31.41,-0.05286,-0.059961,-0.025835,-0.154046,-1e-06,274.14,0.315375,10.1,0.00108,0.00083,0.02763,0.00075,0.0004
oat,mf,access_road_status,+0.200,201,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.55,0.368235,10.8,0.0,0.0,0.0,0.0,0.0
oat,mf,access_road_status,-0.200,201,,0.0385,52,0.05672,-13.86,-0.037867,-0.043058,-0.010981,-0.118194,1e-06,291.69,0.330368,10.2,0.00066,0.00049,0.225,0.00043,0.00022
oat,mf,suppression_availability,+0.200,201,,0.0,52,0.00495,17.19,0.029371,0.033181,0.012789,0.086754,-1e-06,322.74,0.397606,9.7,0.0011,0.00301,0.01395,0.00148,0.00137
oat,mf,suppression_availability,-0.200,201,,0.0577,52,0.03716,-0.81,0.002102,0.002603,-0.000625,0.008431,2e-06,304.74,0.370337,10.1,0.00113,0.00365,0.14223,0.00174,0.00165
oat,mf,temporal_urgency,+0.200,201,,0.0192,52,0.00218,-10.8,0.006965,0.009398,-0.008502,0.036719,-2.1e-05,294.75,0.3752,10.5,0.00264,0.00208,0.0,0.00286,0.00223
oat,mf,temporal_urgency,-0.200,201,,0.8077,52,0.04788,-7.83,-0.031616,-0.035853,-0.006126,-0.101292,-0.00014,297.72,0.336619,11.0,0.00054,0.02725,0.0,0.22092,0.26567
oat,weight,w_burn,+0.250,201,,0.0,52,0.0,0.0,0.01734,0.018025,0.0,0.0,0.0,305.55,0.385575,11.7,0.0,0.0,0.0,0.0,0.0
oat,weight,w_burn,-0.250,201,,0.0,52,0.0,0.0,-0.020092,-0.021303,0.0,0.0,0.0,305.55,0.348143,10.9,0.0,0.0,0.0,0.0,0.0
oat,weight,w_asset,+0.250,201,,0.0,52,0.0,0.0,0.010614,0.010472,0.0,0.0,0.0,305.55,0.37885,10.6,0.0,0.0,0.0,0.0,0.0
oat,weight,w_asset,-0.250,201,,0.0,52,0.0,0.0,-0.012299,-0.012376,0.0,0.0,0.0,305.55,0.355936,10.6,0.0,0.0,0.0,0.0,0.0
oat,weight,w_pop,+0.250,201,,0.0,52,0.0,0.0,-0.024084,-0.028497,0.0,0.0,0.0,305.55,0.344151,10.6,0.0,0.0,0.0,0.0,0.0
oat,weight,w_pop,-0.250,201,,0.0,52,0.0,0.0,0.027907,0.033679,0.0,0.0,0.0,305.55,0.396142,9.7,0.0,0.0,0.0,0.0,0.0
oat,weight,w_resp,+0.250,201,,0.0,52,0.0,0.0,-0.000345,0.0,0.0,0.0,0.0,305.55,0.36789,10.0,0.0,0.0,0.0,0.0,0.0
oat,weight,w_resp,-0.250,201,,0.0,52,0.0,0.0,0.000356,0.0,0.0,0.0,0.0,305.55,0.368591,9.8,0.0,0.0,0.0,0.0,0.0
oat,weight,w_delay,+0.250,201,,0.0,52,0.0,0.0,-0.003749,0.0,0.0,0.0,0.0,305.55,0.364486,9.8,0.0,0.0,0.0,0.0,0.0
oat,weight,w_delay,-0.250,201,,0.0,52,0.0,0.0,0.003861,0.0,0.0,0.0,0.0,305.55,0.372096,9.8,0.0,0.0,0.0,0.0,0.0
oat,mf,fire_intensity,+0.200,202,,0.2308,52,0.00162,7.47,0.00517,0.003523,0.019642,-0.009075,1e-06,85.68,0.147108,6.7,0.00187,0.00217,0.0,0.00219,0.00193
oat,mf,fire_intensity,-0.200,202,,0.3269,52,0.08121,-12.51,-0.013323,-0.023266,-0.035582,-0.034031,-0.000187,65.7,0.128615,9.8,0.20813,0.03261,0.0,0.1031,0.02476
oat,mf,spread_potential,+0.200,202,,0.2308,52,0.01879,35.01,0.032134,0.038829,0.083382,0.033577,-0.000472,113.22,0.174072,10.2,0.02192,0.03135,0.0,0.02009,0.01641
oat,mf,spread_potential,-0.200,202,,0.2692,52,0.01112,1.26,0.003193,0.0034,0.003393,0.006806,0.0,79.47,0.145131,9.4,0.02291,0.01241,0.0,0.01295,0.00515
oat,mf,weather_severity,+0.200,202,,0.0192,52,0.0003,0.0,-6.7e-05,-0.0,0.0,0.0,-0.0,78.21,0.141871,9.8,0.00047,0.00024,0.0,0.00027,0.00011
oat,mf,weather_severity,-0.200,202,,0.2308,52,0.0021,7.83,0.005578,0.003829,0.020561,-0.009075,2e-06,86.04,0.147516,7.0,0.00242,0.0025,0.0,0.00276,0.00233
oat,mf,ignition_proximity,+0.200,202,,0.0769,52,0.00137,-5.4,-0.007622,-0.011026,-0.014925,-0.01815,-5e-06,72.81,0.134316,9.5,0.00141,0.00202,0.0,0.00075,0.00094
oat,mf,ignition_proximity,-0.200,202,,0.3269,52,0.03799,3.24,0.005384,0.005787,0.008658,0.009075,-0.000372,81.45,0.147322,9.8,0.04272,0.08182,0.0,0.04374,0.03521
oat,mf,fuel_load,+0.200,202,,0.2308,52,0.00368,15.84,0.017884,0.019046,0.040375,0.016788,-2.6e-05,94.05,0.159822,6.4,0.00437,0.00257,0.0,0.00297,0.00232
oat,mf,fuel_load,-0.200,202,,0.2308,52,0.00411,9.45,0.004495,0.00369,0.024664,-0.013612,1.7e-05,87.66,0.146433,7.1,0.00576,0.00209,0.0,0.00353,0.00189
oat,mf,asset_exposure,+0.200,202,,0.2115,52,0.01955,-12.24,-0.006673,-0.016888,-0.034775,-0.015881,-9e-06,65.97,0.135264,8.5,0.03603,0.01792,0.0,0.02934,0.01881
oat,mf,asset_exposure,-0.200,202,,0.5,52,0.06118,-1.62,-0.004736,-0.007108,-0.004411,-0.015881,-0.001031,76.59,0.137202,9.4,0.0009,0.18638,0.0,0.06518,0.08408
oat,mf,resource_accessibility,+0.200,202,,0.3269,52,0.02103,-12.42,-0.003844,-0.01298,-0.035313,-0.00363,2e-06,65.79,0.138093,8.3,0.03607,0.00637,0.0239,0.02211,0.00948
oat,mf,resource_accessibility,-0.200,202,,0.2115,52,0.00855,-6.57,-0.00928,-0.012131,-0.018244,-0.01815,-0.0,71.64,0.132658,9.0,0.00013,0.00012,0.03378,0.00017,0.00014
oat,mf,access_road_status,+0.200,202,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.21,0.141938,9.5,0.0,0.0,0.0,0.0,0.0
oat,mf,access_road_status,-0.200,202,,0.2115,52,0.07397,18.18,0.009291,0.011344,0.045945,-0.011344,-0.000571,96.39,0.151228,7.9,0.01331,0.03534,0.225,0.01788,0.01813
oat,mf,suppression_availability,+0.200,202,,0.2308,52,0.00289,-2.07,-0.005726,-0.010201,-0.005647,-0.024956,-1e-06,76.14,0.136212,7.2,0.00069,0.00118,0.0089,0.00079,0.00068
oat,mf,suppression_availability,-0.200,202,,0.2308,52,0.04827,32.22,0.034227,0.040945,0.077477,0.045828,-0.00047,110.43,0.176165,9.1,0.01317,0.02849,0.13137,0.01549,0.01509
oat,mf,temporal_urgency,+0.200,202,,0.1538,52,0.00272,-7.83,-0.003775,-0.008798,-0.021852,-0.004537,-5e-06,70.38,0.138162,10.8,0.0009,0.00616,0.0,0.00447,0.0052
oat,mf,temporal_urgency,-0.200,202,,0.2885,52,0.03607,3.69,0.017256,0.016634,0.009844,0.04129,-0.001233,81.9,0.159194,9.0,0.00141,0.04782,0.0,0.12567,0.15171
oat,weight,w_burn,+0.250,202,,0.2308,52,0.00136,9.27,0.018804,0.020545,0.024211,-0.009075,0.0,87.48,0.160742,8.0,0.00126,0.00194,0.0,0.00205,0.00196
oat,weight,w_burn,-0.250,202,,0.0,52,0.0,0.0,-0.012871,-0.016575,0.0,0.0,0.0,78.21,0.129067,9.6,0.0,0.0,0.0,0.0,0.0
oat,weight,w_asset,+0.250,202,,0.2308,52,0.00136,9.27,-0.001198,-0.001919,0.024211,-0.009075,0.0,87.48,0.14074,7.2,0.00126,0.00194,0.0,0.00205,0.00196
oat,weight,w_asset,-0.250,202,,0.0,52,0.0,0.0,0.007664,0.006947,0.0,0.0,0.0,78.21,0.149602,10.2,0.0,0.0,0.0,0.0,0.0
oat,weight,w_pop,+0.250,202,,0.2308,52,0.00136,9.27,-0.002597,-0.00349,0.024211,-0.009075,0.0,87.48,0.139341,7.1,0.00126,0.00194,0.0,0.00205,0.00196
oat,weight,w_pop,-0.250,202,,0.0,52,0.0,0.0,0.010005,0.009628,0.0,0.0,0.0,78.21,0.151943,10.1,0.0,0.0,0.0,0.0,0.0
oat,weight,w_resp,+0.250,202,,0.2308,52,0.00136,9.27,0.009324,0.005045,0.024211,-0.009075,0.0,87.48,0.151262,6.9,0.00126,0.00194,0.0,0.00205,0.00196
oat,weight,w_resp,-0.250,202,,0.0,52,0.0,0.0,-0.003026,0.0,0.0,0.0,0.0,78.21,0.138912,9.8,0.0,0.0,0.0,0.0,0.0
oat,weight,w_delay,+0.250,202,,0.0,52,0.0,0.0,0.001442,0.0,0.0,0.0,0.0,78.21,0.14338,10.9,0.0,0.0,0.0,0.0,0.0
oat,weight,w_delay,-0.250,202,,0.2308,52,0.00136,9.27,0.004576,0.005045,0.024211,-0.009075,0.0,87.48,0.146514,7.4,0.00126,0.00194,0.0,0.00205,0.00196
