dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,adapt_frac,tried1,tried2,tried3,acc1,acc2,acc3,rules,fs_frac,seconds
eta,0.7,206,0.0,0.21912,0.24819,1955,35,0.514,8,7,3,6,5,0,10,0.236,15.2
eta,0.7,207,0.0,0.29421,0.3197,2757,30,0.9,20,4,3,12,2,0,7,0.733,19.7
eta,0.7,208,0.0,0.42995,0.43375,3032,37,0.811,16,8,6,7,3,2,10,0.541,20.0
eta,0.7,209,0.0,0.48011,0.48128,3824,30,0.7,17,1,3,13,1,2,8,0.742,17.9
eta,0.7,210,0.0,0.32778,0.34601,3329,30,0.667,9,5,6,8,2,1,8,0.342,16.2
eta,0.75,202,0.0,0.1475,0.19751,1069,30,0.433,2,7,4,2,2,1,8,0.625,13.2
eta,0.75,201,0.0,0.4374,0.44279,3505,35,0.8,22,3,3,15,1,0,6,0.914,21.4
eta,0.75,203,0.0,0.17162,0.21261,1894,30,0.867,5,18,3,4,9,0,14,0.425,18.5
eta,0.75,204,0.0,0.47873,0.47996,3332,30,0.833,11,11,3,8,2,2,9,0.633,17.6
eta,0.75,206,0.0,0.28496,0.30447,3123,30,0.367,1,7,3,1,5,0,10,0.483,12.4
eta,0.75,205,0.0,0.23373,0.26898,2271,30,0.9,20,4,3,11,4,0,9,0.75,19.2
eta,0.75,208,0.0,0.42038,0.42689,2942,35,0.886,12,16,3,10,8,0,13,0.521,19.0
eta,0.75,207,0.0,0.28158,0.30765,2735,30,0.9,21,3,3,15,2,0,7,0.75,22.1
eta,0.75,209,0.0,0.30874,0.33048,2396,30,0.7,7,11,3,7,3,1,9,0.575,15.6
eta,0.75,210,0.0,0.47446,0.47674,3859,30,0.733,2,18,2,1,6,0,11,0.625,16.3
eta,0.8,202,0.0,0.12312,0.1762,1055,30,0.5,6,4,5,2,0,1,6,1.0,15.0
eta,0.8,201,0.0,0.33727,0.36219,3016,35,0.8,11,14,3,6,4,0,9,1.0,17.6
eta,0.8,203,0.0,0.17804,0.21793,1955,30,0.833,3,19,3,3,6,0,11,0.833,16.1
eta,0.8,204,0.0,0.29343,0.32164,2213,31,0.774,8,12,4,5,5,2,12,0.911,17.0
eta,0.8,206,0.0,0.23264,0.25221,2062,31,0.355,3,6,2,3,6,0,11,0.952,12.4
eta,0.8,205,0.0,0.24114,0.28141,2313,30,1.0,21,6,3,13,3,0,8,0.95,19.7
eta,0.8,207,0.0,0.2978,0.32088,2801,35,0.743,19,4,3,16,3,0,8,0.793,22.2
eta,0.8,208,0.0,0.45453,0.45817,3536,30,0.967,17,9,3,10,5,0,10,0.983,19.0
eta,0.8,209,0.0,0.4838,0.48339,3736,35,0.8,8,15,5,6,3,3,11,1.0,16.6
eta,0.8,210,0.0,0.22715,0.26383,2602,30,0.767,16,4,3,9,1,0,6,1.0,17.3
eta,0.9,202,0.0,0.10008,0.14286,790,24,0.792,4,10,5,4,3,1,9,1.0,13.8
eta,0.9,201,0.0,0.45907,0.46267,3768,35,0.743,20,3,3,17,3,0,8,1.0,21.3
eta,0.9,203,0.0,0.1668,0.21088,1856,30,0.767,2,18,3,1,10,0,15,1.0,16.2
eta,0.9,204,0.0,0.43102,0.43782,3123,32,0.75,5,16,3,3,3,1,9,1.0,15.0
eta,0.9,206,0.0,0.38132,0.3873,3524,31,0.581,2,14,2,2,7,0,12,1.0,13.6
eta,0.9,205,0.0,0.27169,0.30282,2580,30,1.0,23,4,3,11,2,0,7,1.0,18.7
eta,0.9,207,0.0,0.28025,0.30957,2673,30,0.9,19,5,3,12,4,0,9,1.0,20.5
eta,0.9,208,0.0,0.41963,0.4267,2946,38,0.842,20,9,3,11,4,0,9,1.0,20.0
eta,0.9,210,0.0,0.42502,0.43399,3762,30,0.733,2,18,2,1,9,0,14,1.0,14.6
eta,0.9,209,0.0,0.44104,0.44867,3717,30,0.733,17,2,3,9,1,1,7,1.0,18.6
