step,j_c,j_0,bound,deficit_on,gap,adapt_due,seed
18,0.10339362144178302,0.13531245795212962,0.0,True,True,True,202
24,0.09646564288739062,0.12832280629190326,0.0,True,True,True,202
30,0.10283187781747187,0.12200326623372292,0.0,True,True,True,202
36,0.1120386587879502,0.1406016194933946,0.0,True,True,True,202
42,0.10642495019752649,0.13488087006808425,0.0,True,True,True,202
48,0.119999483104287,0.1348514037015888,0.0,True,True,True,202
54,0.11729532981950881,0.12912222763858072,0.0,True,True,True,202
60,0.14785823074559226,0.13325674684621622,0.0,True,True,True,202
66,0.12889501554224925,0.12964620344117414,0.0,True,True,True,202
72,0.15480804323958205,0.14135498110307806,0.0,True,True,True,202
78,0.13757009375759496,0.16280547031343248,0.0,True,True,True,202
84,0.1352915634643039,0.15507117194157105,0.0,True,True,True,202
90,0.15242459943421519,0.1494821039145427,0.0,True,True,True,202
96,0.14452481411121254,0.16285675347601566,0.0,True,True,True,202
102,0.15149296539087745,0.16952350502693755,0.0,True,True,True,202
108,0.1581375754497753,0.17590102496346977,0.0,True,True,True,202
114,0.16523470934097956,0.17737159400968044,0.0,True,True,True,202
120,0.16730786214718196,0.1842395963443221,0.0,True,True,True,202
126,0.1731907522347347,0.17648051561769182,0.0,True,True,True,202
132,0.174876302022513,0.18441830415400312,0.0,True,True,True,202
138,0.17986703165797813,0.18342573665782413,0.0,True,True,True,202
144,0.18055275285221692,0.18490697610607093,0.0,True,True,True,202
150,0.18191453461038962,0.19001208983634432,0.0,True,True,True,202
156,0.18476565599983155,0.19167577150520027,0.0,True,True,True,202
162,0.1878656338620422,0.1904970589537578,0.0,True,True,True,202
168,0.18962614219411145,0.1918306348556282,0.0,True,True,True,202
174,0.19443910831963204,0.19705167698430995,0.0,True,True,True,202
0,0.07473410613136973,0.07473410613136973,0.07099740082480124,True,False,True,203
6,0.10833930642608398,0.09871869539895164,0.0,True,True,True,203
12,0.1155167300786319,0.11028191676733427,0.0,True,True,True,203
18,0.12956047152510536,0.1214885732257713,0.0,True,True,True,203
24,0.1362884621860899,0.1314443225870883,0.0,True,True,True,203
30,0.14272182232198175,0.1420814230460774,0.0,True,True,True,203
36,0.15077208665532718,0.15279117349128016,0.0,True,True,True,203
42,0.15703770155513122,0.15855620982746094,0.0,True,True,True,203
48,0.1542723232379746,0.17022062470694643,0.0,True,True,True,203
54,0.16036628790506335,0.17458915717332754,0.0,True,True,True,203
60,0.16506673695325488,0.17374875158942718,0.0,True,True,True,203
66,0.1750092001280761,0.18046173346666536,0.0,True,True,True,203
72,0.1843369245787413,0.18916969305629397,0.0,True,True,True,203
78,0.18200565037558486,0.19111669105057863,0.0,True,True,True,203
84,0.1876208734543588,0.1947406082005735,0.0,True,True,True,203
90,0.19824198957930897,0.20145795408176365,0.0,True,True,True,203
96,0.2045705583637574,0.20729738577479442,0.0,True,True,True,203
102,0.20654888684372405,0.20736363322041632,0.0,True,True,True,203
108,0.21454665021601121,0.21728434556656295,0.0,True,True,True,203
114,0.21740024536665029,0.221374744621036,0.0,True,True,True,203
120,0.2257041176239636,0.23509078942694228,0.0,True,True,True,203
126,0.2402013832466779,0.2504623851149472,0.0,True,True,True,203
132,0.2656977627918829,0.2697957639067208,0.0,True,True,True,203
138,0.2747277620339058,0.2777322982830144,0.0,True,True,True,203
144,0.27673086270868097,0.2865882621381029,0.0,True,True,True,203
150,0.2824442689429679,0.28576489867851945,0.0,True,True,True,203
156,0.28910886727168045,0.29783342883903846,0.0,True,True,True,203
162,0.2946653593005618,0.29689377478306844,0.0,True,True,True,203
168,0.299206471794526,0.3140637143850113,0.0,True,True,True,203
174,0.3026163067497936,0.3084620829061882,0.0,True,True,True,203
0,0.16428386801112901,0.16428386801112901,0.15606967461057256,True,False,True,204
6,0.20193786068275738,0.2110142615106708,0.0,True,True,True,204
12,0.23615306062818728,0.26491650909224174,0.0,True,True,True,204
18,0.24857029896881366,0.2655188720281212,0.0,True,True,True,204
24,0.2471754612818801,0.28388897961579757,0.0,True,True,True,204
30,0.2602095263938752,0.27308584426768595,0.0,True,True,True,204
36,0.27153365178231953,0.28864993048332144,0.0,True,True,True,204
42,0.2860537760426765,0.2864231025814959,0.0,True,True,True,204
