scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,wall_s
S2,Greedy,109,greedy,256.68,111.42,2182506.0,0.0,-1,0,0.4559,0.10402,0.00124,0.26445,0.12777,0.18812,0.18705,0.62647,0.51753,0.00894,0.86334,0.13609,0.39789,0.38432,0.65639,0.63046,0.02011,1.0,0.14118,0.45153,0.43565,2.7
S2,Greedy,110,greedy,100.89,68.58,0.0,0.0,-1,0,0.15674,0.0,0.0,0.23927,0.38085,0.08258,0.05225,0.27681,0.0,0.0,0.83855,0.30321,0.14858,0.09227,0.42064,0.0,0.0,1.0,0.23661,0.19646,0.14021,2.1
S3,Greedy,101,greedy,4.86,1.53,0.0,0.0,122.0,1,0.03427,0.0,0.0,0.05859,0.2963,0.03096,0.01142,,,,,,,,0.03427,0.0,0.0,0.05943,0.32846,0.0329,0.01142,0.5
S3,Greedy,102,greedy,49.68,6.84,112447.0,0.0,368.0,1,0.25851,0.07155,0.00022,0.09624,0.18493,0.11368,0.1101,0.27753,0.07961,0.00023,0.25146,0.1939,0.1313,0.11912,0.27753,0.07961,0.00023,0.25568,0.22452,0.13335,0.11912,1.2
S3,Greedy,103,greedy,4.77,2.79,0.0,0.0,170.0,1,0.0328,0.0,0.0,0.03985,0.21981,0.02492,0.01093,,,,,,,,0.03538,0.0,0.0,0.05365,0.23493,0.02738,0.01179,0.5
S3,Greedy,104,greedy,12.24,1.53,0.0,0.0,222.0,1,0.07935,0.0,0.0,0.06112,0.25078,0.04168,0.02645,,,,,,,,0.08511,0.0,0.0,0.09146,0.2361,0.0443,0.02837,0.7
S3,Greedy,105,greedy,5.67,0.09,0.0,0.0,122.0,1,0.04001,0.0,0.0,0.04538,0.22043,0.0274,0.01334,,,,,,,,0.04001,0.0,0.0,0.04602,0.22778,0.02787,0.01334,0.4
S3,Greedy,106,greedy,6.84,1.98,0.0,0.0,216.0,1,0.047,0.0,0.0,0.04571,0.22106,0.02952,0.01567,,,,,,,,0.05153,0.0,0.0,0.08094,0.22978,0.03343,0.01718,0.5
S3,Greedy,107,greedy,1.89,1.71,0.0,0.0,116.0,1,,,,,,,,,,,,,,,0.01445,0.0,0.0,0.02675,0.17409,0.01606,0.00482,0.4
S3,Greedy,108,greedy,6.03,0.72,0.0,0.0,110.0,1,,,,,,,,,,,,,,,0.04737,0.0,0.0,0.02847,0.14829,0.02433,0.01579,0.3
S3,Greedy,109,greedy,20.16,0.27,133844.0,0.0,126.0,1,0.13793,0.04488,0.00028,0.06691,0.2202,0.07074,0.06103,,,,,,,,0.13793,0.04488,0.00028,0.06903,0.21673,0.07066,0.06103,0.4
S3,Greedy,110,greedy,1.26,1.17,0.0,0.0,92.0,1,,,,,,,,,,,,,,,0.0099,0.0,0.0,0.01999,0.22247,0.01717,0.0033,0.3
