scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S5,F5Ev,108,minimal,18.36,1.44,214785.0,0.0,204.0,1,0.12415,0.03915,0.00042,0.03883,0.22235,0.06352,0.05457,,,,,,,,0.13149,0.03915,0.00042,0.04428,0.18201,0.06362,0.05702,8,0.25,0.0,0.6093,5,4,0,5,3,0,-0.2026,-0.0907,0.0,,35.0
S1,F5Ev,108,minimal,166.5,81.36,906778.0,0.0,-1,0,0.45472,0.01332,3e-05,0.21138,0.2524,0.16495,0.15602,0.5479,0.32383,0.00368,0.81103,0.17701,0.3156,0.29181,0.5479,0.32383,0.00368,0.81103,0.17701,0.3156,0.29181,7,0.633,0.0,0.4409,13,2,0,13,2,0,-0.7043,0.0242,0.0,,72.0
S2,F5Ev,108,minimal,252.18,113.85,2638250.0,0.0,-1,0,0.53239,0.29099,0.00272,0.26014,0.15299,0.26727,0.27537,0.64734,0.71638,0.05552,0.8592,0.13904,0.47614,0.47308,0.64734,0.71638,0.05552,0.8592,0.13904,0.47614,0.47308,12,0.517,0.0,0.5674,3,14,0,1,7,0,0.0059,-0.0734,0.0,,65.2
S5,F5EvAI,108,minimal,20.79,1.44,255057.0,0.0,200.0,1,0.1376,0.04662,0.00043,0.04976,0.1916,0.06851,0.06155,,,,,,,,0.14634,0.0511,0.00049,0.0739,0.19487,0.07403,0.06598,11,0.015,0.162,0.6034,0,4,7,0,2,4,0.0,0.0053,-0.0318,template,34.7
S1,F5EvAI,108,minimal,160.56,77.49,971674.0,0.0,-1,0,0.4555,0.0,0.0,0.20916,0.22832,0.15971,0.15183,0.53889,0.27554,0.00547,0.80868,0.19202,0.30001,0.2733,0.53889,0.27554,0.00547,0.80868,0.19202,0.30001,0.2733,6,0.192,0.208,0.3208,11,1,3,9,1,0,-0.5698,0.0051,0.0,template,77.1
S1,Test0,110,minimal,265.41,128.97,3305310.0,0.0,-1,0,0.35586,0.0,0.0,0.0,0.0,0.10467,0.11862,0.65635,0.74167,0.07993,0.0,0.0,0.43469,0.49265,0.65635,0.74167,0.07993,0.0,0.0,0.43469,0.49265,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.8
S2,Test0,110,minimal,275.31,129.69,4085539.0,0.0,-1,0,0.48118,0.42455,0.01612,0.0,0.0,0.27113,0.30728,0.66457,0.91302,0.12054,0.0,0.0,0.49945,0.56604,0.66457,0.91302,0.12054,0.0,0.0,0.49945,0.56604,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.1
S1,F5,109,minimal,10.35,4.05,0.0,0.0,-1,0,0.0411,0.0,0.0,0.02712,0.73206,0.05675,0.0137,0.07152,0.0,0.0,0.1069,0.51459,0.05759,0.02384,0.07152,0.0,0.0,0.1069,0.51459,0.05759,0.02384,5,0.0,0.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,41.7
S3,F5Ev,109,minimal,39.78,0.81,856414.0,0.0,204.0,1,0.23747,0.11979,0.00155,0.05829,0.18967,0.12012,0.1196,,,,,,,,0.23996,0.12933,0.00167,0.06746,0.09078,0.11841,0.12365,7,0.485,0.029,0.6134,7,2,0,5,2,0,-0.0469,-0.068,0.0,,36.1
S3,Test0,110,minimal,153.81,48.69,4613633.0,0.0,-1,0,0.38399,0.2203,0.00763,0.0,0.0,0.17998,0.20397,0.54961,0.57846,0.07321,0.0,0.0,0.35332,0.40043,0.54961,0.57846,0.07321,0.0,0.0,0.35332,0.40043,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.0
S2,F5EvAI,108,minimal,251.55,117.81,2272731.0,0.0,-1,0,0.5467,0.31957,0.00218,0.21474,0.11624,0.27489,0.28948,0.64677,0.66116,0.09067,0.81382,0.12623,0.46665,0.4662,0.64677,0.66116,0.09067,0.81382,0.12623,0.46665,0.4662,7,0.52,0.026,0.3117,2,8,5,0,1,1,0.0,-0.0196,-0.0001,template,81.5
S2,F5,109,minimal,256.41,110.97,2450363.0,0.0,-1,0,0.46159,0.11992,0.00156,0.25368,0.1339,0.19429,0.19436,0.65615,0.673,0.03277,0.85313,0.11786,0.45768,0.45397,0.65615,0.673,0.03277,0.85313,0.11786,0.45768,0.45397,5,0.375,0.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,47.8
S3,F5EvAI,109,minimal,39.78,0.81,856414.0,0.0,204.0,1,0.23747,0.11979,0.00155,0.07365,0.21109,0.12228,0.1196,,,,,,,,0.23996,0.12933,0.00167,0.09391,0.11023,0.12111,0.12365,7,0.235,0.309,0.5215,3,1,5,3,1,1,0.0087,-0.0709,-0.0017,template,38.6
S4,F5Ev,109,minimal,57.96,1.98,1596278.0,0.0,182.0,1,0.31136,0.22039,0.00351,0.11717,0.20304,0.17626,0.17842,,,,,,,,0.31507,0.22631,0.00352,0.13926,0.12275,0.17568,0.18163,9,0.688,0.109,0.6643,4,4,0,4,4,0,-0.0664,-0.1117,0.0,,32.8
S4,F5EvAI,109,minimal,58.32,1.89,1596278.0,0.0,156.0,1,0.3144,0.22787,0.00352,0.11323,0.2312,0.18078,0.18193,,,,,,,,0.31641,0.22787,0.00354,0.12587,0.12544,0.1759,0.1826,8,0.143,0.232,0.4738,1,3,3,1,2,1,-0.021,-0.0751,-0.0031,template,31.2
S4,F5,109,minimal,60.66,1.89,1922287.0,0.0,-1,0,0.3184,0.24563,0.00434,0.12773,0.22401,0.18786,0.18946,0.32498,0.2743,0.00551,0.22241,0.22367,0.20412,0.20159,0.32498,0.2743,0.00551,0.22241,0.22367,0.20412,0.20159,5,0.033,0.417,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,37.1
S5,F5Ev,109,minimal,57.96,1.71,1587112.0,0.0,152.0,1,0.31339,0.22195,0.00348,0.12162,0.2128,0.17815,0.1796,,,,,,,,0.31507,0.22195,0.00348,0.13111,0.12823,0.17422,0.18017,9,0.321,0.036,0.5528,2,5,0,2,4,0,0.0037,-0.1214,0.0,,27.9
S4,Test0,110,minimal,249.57,56.16,8622005.0,0.0,-1,0,0.56459,0.60588,0.02753,0.0,0.0,0.35235,0.39933,0.66443,0.98091,0.18245,0.0,0.0,0.53759,0.60927,0.66443,0.98091,0.18245,0.0,0.0,0.53759,0.60927,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.7
S5,Test0,110,minimal,249.57,56.16,8622005.0,0.0,-1,0,0.56459,0.60588,0.02753,0.0,0.0,0.35235,0.39933,0.66443,0.98091,0.18245,0.0,0.0,0.53759,0.60927,0.66443,0.98091,0.18245,0.0,0.0,0.53759,0.60927,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.6
S5,F5,109,minimal,57.15,1.98,1581001.0,0.0,-1,0,0.30898,0.21197,0.00374,0.10745,0.25308,0.17553,0.1749,0.31204,0.21353,0.00412,0.15602,0.25456,0.17994,0.17656,0.31204,0.21353,0.00412,0.15602,0.25456,0.17994,0.17656,5,0.024,0.395,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,38.7
S5,F5EvAI,109,minimal,57.87,1.8,1665100.0,0.0,204.0,1,0.31238,0.23067,0.00364,0.1226,0.22855,0.18145,0.18223,,,,,,,,0.31473,0.23223,0.00364,0.15891,0.16912,0.18124,0.18353,10,0.265,0.074,0.5418,2,4,3,2,3,2,-0.0155,-0.1177,-0.0163,template,37.3
S1,F5,110,minimal,53.55,32.85,0.0,0.0,-1,0,0.08314,0.0,0.0,0.06225,0.51759,0.05856,0.02771,0.27817,0.01305,0.0,0.41541,0.36175,0.13137,0.09707,0.27817,0.01305,0.0,0.41541,0.36175,0.13137,0.09707,5,0.117,0.383,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,39.9
S2,F5,110,minimal,53.64,28.35,417478.0,0.0,-1,0,0.12323,0.0,0.0,0.16488,0.51183,0.07605,0.04108,0.2785,0.11264,0.00197,0.59834,0.22076,0.1638,0.13104,0.2785,0.11264,0.00197,0.59834,0.22076,0.1638,0.13104,5,0.125,0.417,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,42.0
S2,F5Ev,109,minimal,245.25,103.59,2282086.0,0.0,-1,0,0.45231,0.08652,0.00086,0.25426,0.14731,0.18236,0.1799,0.64604,0.65256,0.03275,0.82865,0.11148,0.44688,0.44378,0.64604,0.65256,0.03275,0.82865,0.11148,0.44688,0.44378,8,0.629,0.0,0.4461,9,6,0,9,3,0,-0.2201,-0.0821,0.0,,74.2
S3,F5,110,minimal,1.53,1.08,0.0,0.0,-1,0,0.0099,0.0,0.0,0.00597,0.4818,0.0316,0.0033,0.01199,0.0,0.0,0.02216,0.44591,0.03106,0.004,0.01199,0.0,0.0,0.02216,0.44591,0.03106,0.004,5,0.0,0.75,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,38.9
S4,F5,110,minimal,49.77,2.7,714467.0,0.0,-1,0,0.26192,0.13797,0.00132,0.10816,0.33646,0.14416,0.13374,0.28308,0.17463,0.00216,0.21523,0.28046,0.16441,0.15329,0.28308,0.17463,0.00216,0.21523,0.28046,0.16441,0.15329,5,0.017,0.683,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,35.2
S2,F5EvAI,109,minimal,250.92,107.82,2120601.0,0.0,-1,0,0.43297,0.03181,0.00053,0.25369,0.15859,0.16111,0.1551,0.65125,0.6066,0.0216,0.82797,0.10006,0.4309,0.42648,0.65125,0.6066,0.0216,0.82797,0.10006,0.4309,0.42648,7,0.6,0.107,0.3525,10,3,3,7,2,0,-0.1877,-0.0468,0.0,template,80.1
S5,F5,110,minimal,42.03,5.22,650499.0,0.0,-1,0,0.21956,0.12398,0.00145,0.09647,0.30354,0.125,0.115,0.25007,0.16164,0.00217,0.21695,0.3177,0.15318,0.13796,0.25007,0.16164,0.00217,0.21695,0.3177,0.15318,0.13796,5,0.017,0.708,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,32.7
S1,F5Ev,110,minimal,78.75,38.34,469663.0,1657.0,-1,0,0.10233,0.0,0.0,0.06396,0.49167,0.06278,0.03411,0.36172,0.12177,0.00768,0.53885,0.38593,0.19886,0.16372,0.36172,0.12177,0.00768,0.53885,0.38593,0.19886,0.16372,9,0.283,0.167,0.4187,7,9,0,6,4,0,-0.1471,-0.0655,0.0,,59.2
S1,F5EvAI,110,minimal,51.12,31.68,130462.0,1480.0,-1,0,0.08314,0.0,0.0,0.06225,0.51759,0.05856,0.02771,0.26894,0.05219,0.00206,0.42414,0.36491,0.14147,0.10773,0.26894,0.05219,0.00206,0.42414,0.36491,0.14147,0.10773,8,0.133,0.375,0.1777,5,7,3,5,3,0,-0.1599,-0.2213,0.0,template,60.1
S2,F5Ev,110,minimal,117.36,70.92,339201.0,0.0,-1,0,0.22761,0.0,0.0,0.20525,0.27164,0.095,0.07587,0.45787,0.10438,0.00119,0.80453,0.20187,0.22491,0.18781,0.45787,0.10438,0.00119,0.80453,0.20187,0.22491,0.18781,6,0.483,0.15,0.1843,13,2,0,10,1,0,-0.4116,0.0,0.0,,56.5
S3,F5EvAI,110,minimal,12.6,7.29,166213.0,0.0,-1,0,0.02166,0.0,0.0,0.00979,0.29999,0.02459,0.00722,0.09088,0.03498,0.0003,0.08624,0.19128,0.05343,0.04206,0.09088,0.03498,0.0003,0.08624,0.19128,0.05343,0.04206,9,0.133,0.567,0.6203,3,8,6,3,2,2,-0.0641,-0.1607,-0.0205,template,45.3
S2,F5EvAI,110,minimal,26.37,19.17,0.0,0.0,-1,0,0.12073,0.0,0.0,0.20086,0.4103,0.07146,0.04024,0.1595,0.0,0.0,0.71004,0.40674,0.1126,0.05317,0.1595,0.0,0.0,0.71004,0.40674,0.1126,0.05317,8,0.283,0.25,0.3874,8,3,4,6,1,2,-0.0802,-0.0172,-0.0238,template,55.6
S3,F5Ev,110,minimal,34.38,11.25,266590.0,0.0,-1,0,0.02642,0.0,0.0,0.0063,0.36623,0.02968,0.00881,0.21431,0.08278,0.00052,0.07696,0.23684,0.10599,0.0992,0.21431,0.08278,0.00052,0.07696,0.23684,0.10599,0.0992,7,0.25,0.375,0.5472,11,3,0,11,2,0,-0.269,-0.0441,0.0,,46.7
S4,F5Ev,110,minimal,41.04,11.88,654717.0,0.0,-1,0,0.18362,0.075,0.00078,0.08929,0.25201,0.09637,0.08647,0.24562,0.12481,0.00129,0.18553,0.26629,0.13591,0.12391,0.24562,0.12481,0.00129,0.18553,0.26629,0.13591,0.12391,8,0.433,0.083,0.657,8,7,0,8,3,0,-0.1747,-0.163,0.0,,43.4
S4,F5EvAI,110,minimal,51.84,14.4,637302.0,1379.0,-1,0,0.22173,0.11446,0.0034,0.1078,0.25653,0.12131,0.1132,0.29142,0.13825,0.00877,0.28075,0.21718,0.15824,0.14615,0.29142,0.13825,0.00877,0.28075,0.21718,0.15824,0.14615,10,0.35,0.108,0.7125,7,3,6,4,2,3,-0.0124,-0.0944,-0.0288,template,41.3
S5,F5Ev,110,minimal,65.43,12.69,694059.0,0.0,-1,0,0.27529,0.11502,0.00107,0.12336,0.21122,0.13479,0.13046,0.34172,0.16847,0.00141,0.28143,0.24375,0.18136,0.17053,0.34172,0.16847,0.00141,0.28143,0.24375,0.18136,0.17053,9,0.5,0.083,0.6506,9,6,0,8,4,0,-0.1637,-0.1318,0.0,,38.9
S5,F5EvAI,110,minimal,53.82,9.72,714898.0,564.0,-1,0,0.25087,0.11222,0.00163,0.13001,0.21427,0.12752,0.12157,0.29922,0.16399,0.00359,0.29894,0.25916,0.17013,0.1556,0.29922,0.16399,0.00359,0.29894,0.25916,0.17013,0.1556,11,0.225,0.058,0.705,6,9,3,4,4,2,-0.0425,-0.1759,-0.0235,template,35.2
