step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
102;102;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.31] R26[0.27] G1[0.09];0.50;0.66;0.62;0.78;0.61;0.41;0.74;0.02;0.2696;0.2606;1
102;102;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.31] R26[0.27] G1[0.09] G2[0.31] G3[0.09];0.74;0.70;0.80;0.64;0.56;0.00;0.82;0.02;0.2696;0.2606;1
103;103;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.42] R26[0.24] G1[0.04] G2[0.42] G3[0.04];0.71;0.70;0.81;0.84;0.65;0.00;0.83;0.02;0.2645;0.2606;1
103;103;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.28] R26[0.24] G1[0.08];0.48;0.64;0.61;0.77;0.61;0.41;0.72;0.02;0.2645;0.2606;1
103;103;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.28] R26[0.24] G1[0.08] G2[0.28] G3[0.08];0.74;0.70;0.80;0.64;0.56;0.00;0.80;0.02;0.2645;0.2606;1
104;104;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.39] R26[0.22] G1[0.04] G2[0.39] G3[0.04];0.71;0.70;0.80;0.84;0.66;0.00;0.81;0.02;0.2661;0.2565;1
104;104;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.22] R20[0.26] R26[0.22] G1[0.08];0.47;0.63;0.59;0.75;0.61;0.40;0.71;0.02;0.2661;0.2565;1
104;104;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.26] R26[0.22] G1[0.07] G2[0.26] G3[0.07];0.74;0.70;0.80;0.64;0.56;0.00;0.78;0.02;0.2661;0.2565;1
105;105;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.02] R20[0.35] R26[0.20] G1[0.03] G2[0.35] G3[0.03];0.71;0.71;0.81;0.85;0.66;0.00;0.79;0.02;0.2649;0.2571;1
105;105;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.08] R11[0.23] R15[0.20] R20[0.24] R26[0.20] G1[0.07];0.45;0.62;0.58;0.74;0.61;0.39;0.69;0.02;0.2649;0.2571;1
105;105;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.04] R20[0.24] R26[0.20] G1[0.07] G2[0.24] G3[0.07];0.73;0.70;0.80;0.64;0.56;0.00;0.77;0.02;0.2649;0.2571;1
106;106;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.32] R26[0.18] G1[0.03] G2[0.32] G3[0.03];0.71;0.71;0.81;0.86;0.66;0.00;0.77;0.02;0.2658;0.2566;1
106;106;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.18] R20[0.22] R26[0.18] G1[0.06];0.44;0.61;0.57;0.72;0.61;0.37;0.69;0.02;0.2658;0.2566;1
106;106;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.22] R26[0.18] G1[0.06] G2[0.22] G3[0.06];0.73;0.70;0.80;0.64;0.56;0.00;0.76;0.02;0.2658;0.2566;1
107;107;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.30] R26[0.17] G1[0.03] G2[0.30] G3[0.03];0.70;0.72;0.81;0.86;0.66;0.00;0.76;0.02;0.2658;0.2570;1
107;107;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.17] R20[0.20] R26[0.17] G1[0.06];0.43;0.60;0.56;0.70;0.61;0.36;0.67;0.02;0.2658;0.2570;1
107;107;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.20] R26[0.17] G1[0.06] G2[0.20] G3[0.06];0.72;0.69;0.79;0.64;0.56;0.00;0.75;0.02;0.2658;0.2570;1
108;108;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.27] R26[0.16] G1[0.03] G2[0.27] G3[0.03];0.70;0.71;0.81;0.85;0.67;0.00;0.75;0.02;0.2663;0.2565;1
108;108;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.16] R20[0.18] R26[0.16] G1[0.05];0.42;0.60;0.56;0.69;0.61;0.35;0.67;0.02;0.2663;0.2565;1
108;108;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.18] R26[0.16] G1[0.05] G2[0.18] G3[0.05];0.71;0.68;0.78;0.63;0.56;0.00;0.74;0.02;0.2663;0.2565;1
109;109;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.25] R26[0.14] G1[0.02] G2[0.25] G3[0.02];0.69;0.71;0.80;0.84;0.67;0.00;0.74;0.02;0.2680;0.2569;1
109;109;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.14] R20[0.17] R26[0.14] G1[0.05];0.41;0.59;0.55;0.68;0.62;0.34;0.66;0.02;0.2680;0.2569;1
109;109;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.17] R26[0.14] G1[0.05] G2[0.17] G3[0.05];0.70;0.67;0.77;0.62;0.56;0.00;0.73;0.02;0.2680;0.2569;1
110;110;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → rejected (instantiated cell did not improve the physical forecast (0.286 vs 0.286, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied);2;0;R7[0.02] R20[0.24] R26[0.13] G1[0.02] G2[0.24] G3[0.02];0.67;0.70;0.79;0.83;0.67;0.00;0.73;0.02;0.2673;0.2568;1
110;110;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → rejected (instantiated cell did not improve the physical forecast (0.286 vs 0.286, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied);2;0;R7[0.08] R11[0.23] R15[0.13] R20[0.15] R26[0.13] G1[0.05];0.41;0.58;0.54;0.68;0.62;0.33;0.65;0.02;0.2673;0.2568;1
110;110;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → rejected (instantiated cell did not improve the physical forecast (0.286 vs 0.286, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied);2;0;R7[0.04] R20[0.16] R26[0.13] G1[0.04] G2[0.16] G3[0.04];0.69;0.67;0.77;0.62;0.56;0.00;0.72;0.02;0.2673;0.2568;1
111;111;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.22] R26[0.13] G1[0.02] G2[0.22] G3[0.02];0.66;0.69;0.78;0.82;0.67;0.00;0.72;0.02;0.2685;0.2577;1
111;111;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.13] R20[0.14] R26[0.13] G1[0.04];0.40;0.58;0.53;0.68;0.62;0.33;0.64;0.02;0.2685;0.2577;1
111;111;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.15] R26[0.13] G1[0.04] G2[0.15] G3[0.04];0.68;0.66;0.76;0.61;0.56;0.00;0.72;0.02;0.2685;0.2577;1
112;112;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.21] R26[0.12] G1[0.02] G2[0.21] G3[0.02];0.65;0.69;0.77;0.81;0.67;0.00;0.71;0.02;0.2684;0.2574;1
112;112;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.12] R20[0.13] R26[0.12] G1[0.04];0.39;0.57;0.53;0.67;0.62;0.32;0.64;0.02;0.2684;0.2574;1
112;112;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.14] R26[0.12] G1[0.04] G2[0.14] G3[0.04];0.67;0.65;0.75;0.60;0.56;0.00;0.71;0.02;0.2684;0.2574;1
113;113;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.19] R26[0.11] G1[0.02] G2[0.19] G3[0.02];0.65;0.68;0.76;0.81;0.68;0.00;0.70;0.02;0.2686;0.2576;1
113;113;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.11] R20[0.12] R26[0.11] G1[0.04];0.39;0.57;0.52;0.67;0.62;0.31;0.63;0.02;0.2686;0.2576;1
113;113;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.13] R26[0.11] G1[0.04] G2[0.13] G3[0.04];0.66;0.65;0.75;0.60;0.56;0.00;0.71;0.02;0.2686;0.2576;1
114;114;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.18] R26[0.10] G1[0.02] G2[0.18] G3[0.02];0.64;0.68;0.75;0.80;0.68;0.00;0.70;0.02;0.2690;0.2581;1
114;114;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.10] R20[0.12] R26[0.10] G1[0.04];0.38;0.57;0.52;0.66;0.62;0.31;0.63;0.02;0.2690;0.2581;1
114;114;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.12] R26[0.10] G1[0.03] G2[0.12] G3[0.03];0.65;0.64;0.74;0.60;0.56;0.00;0.70;0.02;0.2690;0.2581;1
115;115;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: A17 consequents +0.05;1;1;R7[0.02] R20[0.17] R26[0.10] G1[0.02] G2[0.17] G3[0.02];0.63;0.67;0.74;0.79;0.69;0.00;0.69;0.02;0.2696;0.2583;1
115;115;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: A17 consequents +0.05;1;1;R7[0.08] R11[0.23] R15[0.10] R20[0.11] R26[0.10] G1[0.03];0.38;0.56;0.51;0.65;0.64;0.30;0.62;0.02;0.2696;0.2583;1
115;115;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: A17 consequents +0.05;1;1;R7[0.04] R20[0.11] R26[0.10] G1[0.03] G2[0.11] G3[0.03];0.66;0.64;0.74;0.59;0.57;0.00;0.70;0.02;0.2696;0.2583;1
100;100;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.57] R26[0.32] G1[0.06] G2[0.57] G3[0.06];0.72;0.69;0.81;0.84;0.64;0.00;0.91;0.02;0.2683;0.2595;1
100;100;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.38] R26[0.32] G1[0.11];0.51;0.66;0.63;0.79;0.60;0.41;0.78;0.02;0.2683;0.2595;1
100;100;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.38] R26[0.32] G1[0.11] G2[0.38] G3[0.11];0.75;0.70;0.80;0.64;0.56;0.00;0.87;0.02;0.2683;0.2595;1
