scenario,arm,seed,source,package,gate,accepted,dJ
S3,F5EvAI,215,template,True,G2 package (name empty or taken),False,0.0
S3,F5EvAI,215,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,215,template,False,,False,0.0
S4,F5EvAI,215,template,False,,True,-0.00457
S4,F5EvAI,215,template,True,,True,-0.00195
S5,F5EvAI,215,template,False,,False,0.0
S5,F5EvAI,215,template,False,,True,-0.00496
S5,F5EvAI,215,template,True,,True,-0.00197
S1,F5EvAI,216,template,False,,False,0.0
S1,F5EvAI,216,template,False,,False,0.0
S1,F5EvAI,216,template,False,,False,0.0
S2,F5EvAI,216,template,False,,False,0.0
S2,F5EvAI,216,template,False,,True,0.00193
S2,F5EvAI,216,template,True,,True,0.00874
S2,F5EvAI,216,template,False,,False,0.0
S2,F5EvAI,216,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,216,template,False,,False,0.0
S3,F5EvAI,216,template,False,,False,0.0
S3,F5EvAI,216,template,False,,False,0.0
S4,F5EvAI,216,template,False,,False,0.0
S4,F5EvAI,216,template,False,,True,0.01086
S4,F5EvAI,216,template,True,,True,-0.00675
S4,F5EvAI,216,template,False,,True,-0.00049
S4,F5EvAI,216,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,216,template,False,,False,0.0
S5,F5EvAI,216,template,False,,True,0.0119
S5,F5EvAI,216,template,True,,True,-0.00367
S5,F5EvAI,216,template,False,,True,-5e-05
S1,F5EvAI,217,template,False,,False,0.0
S1,F5EvAI,217,template,False,,False,0.0
S1,F5EvAI,217,template,False,,False,0.0
S2,F5EvAI,217,template,False,,False,0.0
S2,F5EvAI,217,template,False,,False,0.0
S2,F5EvAI,217,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,217,template,False,,False,0.0
S3,F5EvAI,217,template,False,,True,-0.04639
S4,F5EvAI,217,template,False,,False,0.0
S4,F5EvAI,217,template,False,,False,0.0
S4,F5EvAI,217,template,False,,False,0.0
S5,F5EvAI,217,template,False,,False,0.0
S5,F5EvAI,217,template,False,,False,0.0
S5,F5EvAI,217,template,False,,False,0.0
S1,F5EvAI,218,template,False,,False,0.0
S1,F5EvAI,218,template,False,,False,0.0
S1,F5EvAI,218,template,True,,True,-0.002
S1,F5EvAI,218,template,False,,False,0.0
S1,F5EvAI,218,template,False,,False,0.0
S1,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S2,F5EvAI,218,template,False,,False,0.0
S2,F5EvAI,218,template,False,,False,0.0
S2,F5EvAI,218,template,False,,False,0.0
S3,F5EvAI,218,template,False,,False,0.0
S3,F5EvAI,218,template,False,,True,-0.01056
S4,F5EvAI,218,template,False,,False,0.0
S4,F5EvAI,218,template,False,,True,-0.01369
S4,F5EvAI,218,template,True,,True,-0.01821
S4,F5EvAI,218,template,False,,True,-0.00074
S4,F5EvAI,218,template,False,,True,-0.00247
S4,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,218,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,218,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,218,template,False,,False,0.0
S5,F5EvAI,218,template,False,,True,-0.0092
S5,F5EvAI,218,template,True,,True,-0.01125
S5,F5EvAI,218,template,False,,False,0.0
S5,F5EvAI,218,template,False,,True,-0.00037
S5,F5EvAI,218,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,218,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,218,template,False,,True,-5e-05
