scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S4,Test0,219,minimal,260.73,61.74,8884444.0,0.0,-1,0,0.39573,0.18617,0.00235,0.0,0.0,0.17184,0.19475,0.61184,0.61239,0.04248,0.0,0.0,0.37256,0.42224,0.65871,0.95075,0.18202,0.0,0.0,0.5269,0.59716,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.9
S4,F5Ev,219,minimal,47.88,1.08,0.0,0.0,128.0,1,0.26168,0.0,0.0,0.10383,0.37709,0.10525,0.08723,,,,,,,,0.26168,0.0,0.0,0.10559,0.24801,0.09777,0.08723,7,0.341,0.0,0.5924,3,3,0,3,2,0,0.0333,-0.0194,0.0,,3.7
S4,F5EvAI,219,minimal,46.62,1.08,0.0,0.0,128.0,1,0.25656,0.0,0.0,0.09901,0.24902,0.09593,0.08552,,,,,,,,0.25656,0.0,0.0,0.09979,0.33736,0.10117,0.08552,8,0.227,0.068,0.5482,1,2,3,1,2,1,0.0178,-0.0045,-0.0071,template,4.5
S5,Test0,219,minimal,260.73,61.74,8884444.0,0.0,-1,0,0.39573,0.18617,0.00235,0.0,0.0,0.17184,0.19475,0.61184,0.61239,0.04248,0.0,0.0,0.37256,0.42224,0.65871,0.95075,0.18202,0.0,0.0,0.5269,0.59716,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.8
S4,F5,219,minimal,49.32,1.35,0.0,0.0,-1,0,0.26168,0.0,0.0,0.10175,0.3325,0.10251,0.08723,0.26277,0.0,0.0,0.15548,0.44882,0.11283,0.08759,0.26745,0.0,0.0,0.27235,0.45945,0.12171,0.08915,5,0.042,0.621,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,12.6
S5,F5Ev,219,minimal,48.15,1.08,0.0,0.0,128.0,1,0.26277,0.0,0.0,0.10096,0.39529,0.10648,0.08759,,,,,,,,0.26277,0.0,0.0,0.1028,0.25296,0.09821,0.08759,8,0.159,0.0,0.6205,2,4,0,2,3,0,0.0246,-0.0086,0.0,,3.6
S5,F5,219,minimal,49.14,1.35,0.0,0.0,458.0,1,0.26277,0.0,0.0,0.10217,0.22966,0.09681,0.08759,0.26422,0.0,0.0,0.15193,0.4362,0.11231,0.08807,0.26673,0.0,0.0,0.19476,0.40412,0.11368,0.08891,5,0.006,0.429,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.8
S5,F5EvAI,219,minimal,47.34,1.08,0.0,0.0,128.0,1,0.2595,0.0,0.0,0.09886,0.26026,0.09745,0.0865,,,,,,,,0.2595,0.0,0.0,0.1003,0.25032,0.09695,0.0865,8,0.295,0.136,0.6138,1,2,3,1,2,1,0.0128,0.0204,-0.0058,template,4.1
S1,Test0,220,minimal,262.08,116.55,4444444.0,0.0,-1,0,0.53773,0.52047,0.02777,0.0,0.0,0.3194,0.36199,0.66636,1.0,0.22598,0.0,0.0,0.55657,0.63078,0.66636,1.0,0.31981,0.0,0.0,0.58417,0.66206,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.0
S1,F5,220,minimal,148.68,45.36,690725.0,111.0,-1,0,0.38351,0.11961,0.0017,0.18775,0.25485,0.17451,0.16827,0.42734,0.19242,0.00353,0.54353,0.34157,0.23538,0.20776,0.53119,0.27484,0.00527,1.0,0.18866,0.30854,0.27043,5,0.187,0.159,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,13.4
S1,F5Ev,220,minimal,191.7,75.6,721573.0,111.0,-1,0,0.38817,0.10074,0.0014,0.22331,0.26696,0.17305,0.16344,0.52322,0.24453,0.00368,0.7924,0.15541,0.28264,0.25714,0.59365,0.24453,0.00514,1.0,0.14459,0.31536,0.2811,6,0.492,0.0,0.191,26,4,0,12,1,0,-0.3678,0.0,0.0,,21.0
S2,Test0,220,minimal,262.08,116.55,4444444.0,0.0,-1,0,0.60509,0.65748,0.03386,0.0,0.0,0.3813,0.43214,0.66636,1.0,0.2343,0.0,0.0,0.55902,0.63355,0.66636,1.0,0.31408,0.0,0.0,0.58248,0.66015,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.0
S1,F5EvAI,220,minimal,227.25,96.03,1032124.0,111.0,-1,0,0.39275,0.11961,0.0017,0.19732,0.20544,0.17489,0.17135,0.54537,0.17456,0.00286,0.74056,0.12973,0.26378,0.24093,0.63394,0.37604,0.00593,1.0,0.10355,0.36371,0.33864,7,0.512,0.044,0.2619,24,3,3,12,1,1,-0.6466,-0.0714,-0.0021,template,20.7
S2,F5,220,minimal,222.84,97.02,1621139.0,106.0,-1,0,0.47761,0.15624,0.00191,0.2498,0.15834,0.21099,0.21192,0.60294,0.33895,0.00424,0.84919,0.11816,0.33518,0.31538,0.62938,0.47486,0.00945,1.0,0.13078,0.39407,0.37123,5,0.632,0.261,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,15.1
S2,F5Ev,220,minimal,185.76,68.13,798691.0,109.0,-1,0,0.43466,0.14379,0.00168,0.26959,0.18989,0.19765,0.19338,0.48626,0.185,0.00285,0.86883,0.17834,0.25986,0.2247,0.58603,0.26926,0.00518,1.0,0.15087,0.32078,0.28682,6,0.565,0.0,0.177,26,4,0,6,1,0,-0.2467,-0.0001,0.0,,20.6
S3,Test0,220,minimal,267.39,53.91,8888889.0,0.0,-1,0,0.46632,0.54212,0.03422,0.0,0.0,0.30667,0.34755,0.62263,0.97417,0.17542,0.0,0.0,0.52124,0.59074,0.66667,1.0,0.25861,0.0,0.0,0.56626,0.64176,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.5
S2,F5EvAI,220,minimal,179.28,61.56,932921.0,106.0,-1,0,0.4318,0.17456,0.00184,0.24974,0.18076,0.20421,0.20273,0.47403,0.30735,0.00391,0.82411,0.14524,0.28799,0.26176,0.57739,0.31834,0.00626,1.0,0.13094,0.33182,0.30067,8,0.525,0.031,0.2883,17,7,4,4,2,1,-0.1334,-0.1274,-0.0006,template,20.5
S3,F5,220,minimal,56.34,0.72,1121627.0,0.0,-1,0,0.27092,0.18831,0.00233,0.06445,0.23114,0.15314,0.15385,0.28872,0.21003,0.0027,0.11221,0.2709,0.17002,0.16715,0.29647,0.23146,0.00324,0.16872,0.27799,0.1825,0.17706,5,0.0,0.275,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,11.4
S3,F5Ev,220,minimal,61.02,2.88,905507.0,0.0,410.0,1,0.27484,0.17145,0.00185,0.07322,0.21327,0.14866,0.14938,0.31306,0.21211,0.00217,0.14409,0.10169,0.16956,0.17578,0.31338,0.21211,0.00217,0.15361,0.0928,0.16969,0.17589,8,0.414,0.007,0.684,15,3,0,14,3,0,-0.3761,-0.0342,0.0,,10.7
S4,Test0,220,minimal,267.39,53.91,8888889.0,0.0,-1,0,0.51415,0.54149,0.0335,0.0,0.0,0.32033,0.36304,0.64903,1.0,0.1949,0.0,0.0,0.54233,0.61464,0.66667,1.0,0.26229,0.0,0.0,0.56734,0.64298,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.6
S3,F5EvAI,220,minimal,55.89,0.72,1011946.0,0.0,306.0,1,0.2626,0.16392,0.00211,0.07649,0.1902,0.14176,0.14288,,,,,,,,0.2948,0.21292,0.00243,0.14433,0.13835,0.16667,0.17005,8,0.296,0.037,0.6863,6,4,3,6,2,1,-0.1079,-0.1145,-0.0148,template,8.4
S4,F5Ev,220,minimal,61.29,2.61,910569.0,0.0,264.0,1,0.28702,0.18448,0.002,0.13816,0.21291,0.15992,0.15783,,,,,,,,0.31433,0.21321,0.00217,0.20479,0.16448,0.17752,0.17657,7,0.364,0.0,0.4615,8,3,0,8,2,0,-0.2533,-0.0248,0.0,,5.9
S4,F5,220,minimal,68.94,2.07,1593348.0,0.0,-1,0,0.31685,0.26221,0.00317,0.13964,0.26152,0.19484,0.19408,0.33401,0.28683,0.00454,0.33607,0.28747,0.22061,0.20846,0.34022,0.29118,0.00465,0.45997,0.37546,0.23621,0.21201,5,0.0,0.189,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,11.9
S5,Test0,220,minimal,267.39,53.91,8888889.0,0.0,-1,0,0.51415,0.54149,0.0335,0.0,0.0,0.32033,0.36304,0.64903,1.0,0.1949,0.0,0.0,0.54233,0.61464,0.66667,1.0,0.26229,0.0,0.0,0.56734,0.64298,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.8
S4,F5EvAI,220,minimal,57.87,2.16,1038150.0,0.0,386.0,1,0.26039,0.16392,0.00206,0.14923,0.19446,0.14562,0.14213,0.30209,0.22132,0.00261,0.28124,0.19259,0.18258,0.17534,0.30209,0.22132,0.00262,0.28852,0.15939,0.18106,0.17534,11,0.152,0.076,0.6632,1,14,6,1,4,2,0.0001,-0.0422,-0.0334,template,8.8
S5,F5,220,minimal,57.42,0.99,1194940.0,0.0,-1,0,0.2815,0.18831,0.00248,0.10968,0.30079,0.16305,0.15743,0.28838,0.20568,0.0027,0.19927,0.34091,0.17788,0.16559,0.30045,0.23291,0.00331,0.27112,0.31356,0.19223,0.17889,5,0.004,0.237,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,12.7
S5,F5Ev,220,minimal,58.32,2.16,882686.0,0.0,412.0,1,0.28358,0.18917,0.00211,0.12442,0.21207,0.15946,0.15829,0.3034,0.20221,0.00226,0.20306,0.13014,0.16897,0.16929,0.30373,0.20365,0.00228,0.21553,0.11701,0.16946,0.16989,8,0.421,0.0,0.7014,9,9,0,9,3,0,-0.085,-0.1053,0.0,,10.7
